Comment,Designator,Footprint,LCSC
Q_NMOS_GDS,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",TO-252-2,C110912
IR2103,"U2,U3,U5,U6",SOP-8_3.9x4.9mm_P1.27mm,C111908
10uF,"C11,C13,C14,C26,C27,C7,C8,C9",C_1206_3216Metric,C13585
100nF,"C10,C12,C15,C25,C28,C33",C_0603_1608Metric,C14663
6800pF,"C24,C34",C_0603_1608Metric,C1631
39pf,"C21,C22,C35,C36",C_0603_1608Metric,C1666
47uF,"C29,C39,C40,C41",C_0805_2012Metric,C16780
40v 1A ,D19,D_SOD-323,C191023
1k,"R1,R13,R14,R15,R17,R2",R_0603_1608Metric,C21190
13k,"R12,R22,Rvoltage3",R_0603_1608Metric,C22797
15,"R10,R11,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C22810
82k,"R18,R19,R20,R21",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23254
10k,"R16,R23,R24,R25,R26",R_0603_1608Metric,C25804
B560C,D18,D_SMC_Handsoldering,C266541
15uH,L2,L_7.3x7.3_H4.5,C2761921
8.2uH,L1,L_12x12mm_H8mm,C2847544
US1A,"D1,D11,D4,D8",D_SMA,C412437
TPS54360DDA,"U10,U7",TI_SO-PowerPAD-8_ThermalVias,C44377
22uf,"C3,C4,C6",C_0805_2012Metric,C45783
100n,"C1,C2,C5",C_0805_2012Metric,C49678
ESP32-WROOM-32D,U4,ESP32-WROOM-32,C529578
22uF,C17,C_0603_1608Metric,C59461
AMS1117-3.3,U8,SOT-223-3_TabPin2,C6186
D,"D10,D12,D13,D2,D5,D6,D7,D9",D_SOD-123,C81598
2.2uF 60V,"C19,C20,C31,C32",C_0603_1608Metric,C920964
47uF,"C16,C18,C37,C38",C_1206_3216Metric,C96123
1.4k,Rvoltage4,R_0603_1608Metric,
"5.24*Rvoltage2  (5,6 - 7.5)",Rvoltage1,R_0603_1608Metric,
1k 1.4k,Rvoltage2,R_0603_1608Metric,
